role,app_name,job_type,count,probability
cn,app_0,batch,255,0.024136299100804542
cn,app_0,interactive,211,0.019971604353999053
cn,app_10,batch,2,0.0001893043066729768
cn,app_100,batch,5,0.000473260766682442
cn,app_101,batch,6,0.0005679129200189305
cn,app_103,batch,2,0.0001893043066729768
cn,app_103,interactive,4,0.0003786086133459536
cn,app_104,batch,5,0.000473260766682442
cn,app_104,interactive,2,0.0001893043066729768
cn,app_107,batch,9,0.0008518693800283957
cn,app_107,interactive,31,0.0029342167534311407
cn,app_109,batch,10,0.000946521533364884
cn,app_109,interactive,1,9.46521533364884e-05
cn,app_11,batch,17,0.001609086606720303
cn,app_11,interactive,7,0.0006625650733554188
cn,app_110,batch,2,0.0001893043066729768
cn,app_112,batch,4,0.0003786086133459536
cn,app_115,batch,10,0.000946521533364884
cn,app_115,interactive,3,0.00028395646000946523
cn,app_117,batch,2,0.0001893043066729768
cn,app_117,interactive,1,9.46521533364884e-05
cn,app_119,interactive,1,9.46521533364884e-05
cn,app_12,batch,8,0.0007572172266919072
cn,app_12,interactive,2,0.0001893043066729768
cn,app_120,batch,1,9.46521533364884e-05
cn,app_120,interactive,6,0.0005679129200189305
cn,app_122,batch,1,9.46521533364884e-05
cn,app_122,interactive,1,9.46521533364884e-05
cn,app_123,batch,213,0.02016090866067203
cn,app_123,interactive,93,0.008802650260293421
cn,app_124,batch,1,9.46521533364884e-05
cn,app_124,interactive,2,0.0001893043066729768
cn,app_125,interactive,12,0.001135825840037861
cn,app_126,batch,184,0.017415996213913865
cn,app_126,interactive,33,0.003123521060104117
cn,app_127,batch,5,0.000473260766682442
cn,app_128,batch,4,0.0003786086133459536
cn,app_128,interactive,23,0.002176999526739233
cn,app_129,batch,9,0.0008518693800283957
cn,app_129,interactive,4,0.0003786086133459536
cn,app_13,batch,132,0.012494084240416469
cn,app_13,interactive,35,0.003312825366777094
cn,app_130,batch,2,0.0001893043066729768
cn,app_130,interactive,161,0.015238996687174633
cn,app_131,batch,4,0.0003786086133459536
cn,app_131,interactive,1,9.46521533364884e-05
cn,app_132,batch,18,0.0017037387600567914
cn,app_132,interactive,34,0.003218173213440606
cn,app_133,batch,5,0.000473260766682442
cn,app_134,batch,9,0.0008518693800283957
cn,app_134,interactive,3,0.00028395646000946523
cn,app_135,batch,1,9.46521533364884e-05
cn,app_136,batch,10,0.000946521533364884
cn,app_136,interactive,121,0.011452910553715097
cn,app_137,batch,14,0.0013251301467108376
cn,app_137,interactive,1,9.46521533364884e-05
cn,app_138,batch,19,0.0017983909133932796
cn,app_138,interactive,1,9.46521533364884e-05
cn,app_139,batch,36,0.0034074775201135827
cn,app_14,batch,168,0.015901561760530054
cn,app_14,interactive,77,0.0072882158069096075
cn,app_140,batch,33,0.003123521060104117
cn,app_140,interactive,285,0.026975863700899196
cn,app_141,batch,11,0.0010411736867013725
cn,app_141,interactive,2,0.0001893043066729768
cn,app_142,batch,31,0.0029342167534311407
cn,app_142,interactive,8,0.0007572172266919072
cn,app_143,batch,28,0.002650260293421675
cn,app_143,interactive,1,9.46521533364884e-05
cn,app_144,batch,110,0.010411736867013724
cn,app_144,interactive,27,0.002555608140085187
cn,app_145,batch,22,0.002082347373402745
cn,app_145,interactive,80,0.007572172266919072
cn,app_146,batch,21,0.0019876952200662567
cn,app_146,interactive,1,9.46521533364884e-05
cn,app_147,batch,3,0.00028395646000946523
cn,app_148,batch,12,0.001135825840037861
cn,app_148,interactive,12,0.001135825840037861
cn,app_149,batch,11,0.0010411736867013725
cn,app_149,interactive,5,0.000473260766682442
cn,app_15,batch,3,0.00028395646000946523
cn,app_150,batch,4,0.0003786086133459536
cn,app_151,interactive,123,0.011642214860388073
cn,app_152,batch,128,0.012115475627070516
cn,app_152,interactive,112,0.0106010411736867
cn,app_153,batch,5,0.000473260766682442
cn,app_153,interactive,1,9.46521533364884e-05
cn,app_154,batch,3,0.00028395646000946523
cn,app_154,interactive,29,0.002744912446758164
cn,app_155,interactive,1,9.46521533364884e-05
cn,app_16,batch,5,0.000473260766682442
cn,app_17,batch,10,0.000946521533364884
cn,app_18,batch,214,0.02025556081400852
cn,app_18,interactive,42,0.003975390440132513
cn,app_19,batch,239,0.02262186464742073
cn,app_19,interactive,96,0.009086606720302887
cn,app_2,batch,341,0.03227638428774254
cn,app_2,interactive,74,0.007004259346900142
cn,app_20,batch,150,0.01419782300047326
cn,app_20,interactive,9,0.0008518693800283957
cn,app_21,batch,87,0.008234737340274492
cn,app_21,interactive,22,0.002082347373402745
cn,app_22,batch,16,0.0015144344533838145
cn,app_22,interactive,9,0.0008518693800283957
cn,app_23,batch,7,0.0006625650733554188
cn,app_23,interactive,1,9.46521533364884e-05
cn,app_24,batch,9,0.0008518693800283957
cn,app_24,interactive,4,0.0003786086133459536
cn,app_25,batch,18,0.0017037387600567914
cn,app_25,interactive,2,0.0001893043066729768
cn,app_26,batch,50,0.00473260766682442
cn,app_26,interactive,7,0.0006625650733554188
cn,app_27,batch,79,0.007477520113582584
cn,app_27,interactive,62,0.0058684335068622815
cn,app_28,batch,27,0.002555608140085187
cn,app_28,interactive,4,0.0003786086133459536
cn,app_29,batch,14,0.0013251301467108376
cn,app_3,batch,2,0.0001893043066729768
cn,app_3,interactive,1,9.46521533364884e-05
cn,app_30,batch,43,0.004070042593469002
cn,app_30,interactive,7,0.0006625650733554188
cn,app_31,batch,3,0.00028395646000946523
cn,app_31,interactive,2,0.0001893043066729768
cn,app_32,batch,1,9.46521533364884e-05
cn,app_32,interactive,10,0.000946521533364884
cn,app_33,batch,1,9.46521533364884e-05
cn,app_34,batch,11,0.0010411736867013725
cn,app_34,interactive,1,9.46521533364884e-05
cn,app_35,batch,51,0.004827259820160908
cn,app_35,interactive,5,0.000473260766682442
cn,app_36,batch,6,0.0005679129200189305
cn,app_37,batch,32,0.003028868906767629
cn,app_37,interactive,19,0.0017983909133932796
cn,app_38,batch,2,0.0001893043066729768
cn,app_38,interactive,7,0.0006625650733554188
cn,app_39,batch,9,0.0008518693800283957
cn,app_39,interactive,1,9.46521533364884e-05
cn,app_4,batch,7,0.0006625650733554188
cn,app_4,interactive,2,0.0001893043066729768
cn,app_41,batch,9,0.0008518693800283957
cn,app_41,interactive,2,0.0001893043066729768
cn,app_42,batch,25,0.00236630383341221
cn,app_42,interactive,5,0.000473260766682442
cn,app_43,interactive,5,0.000473260766682442
cn,app_44,batch,6,0.0005679129200189305
cn,app_45,batch,3,0.00028395646000946523
cn,app_45,interactive,1,9.46521533364884e-05
cn,app_46,batch,25,0.00236630383341221
cn,app_46,interactive,2,0.0001893043066729768
cn,app_47,batch,96,0.009086606720302887
cn,app_47,interactive,18,0.0017037387600567914
cn,app_48,batch,15,0.001419782300047326
cn,app_48,interactive,1,9.46521533364884e-05
cn,app_49,batch,12,0.001135825840037861
cn,app_49,interactive,2,0.0001893043066729768
cn,app_5,batch,2,0.0001893043066729768
cn,app_50,batch,97,0.009181258873639376
cn,app_50,interactive,37,0.003502129673450071
cn,app_51,batch,2,0.0001893043066729768
cn,app_52,batch,21,0.0019876952200662567
cn,app_52,interactive,1,9.46521533364884e-05
cn,app_53,batch,11,0.0010411736867013725
cn,app_53,interactive,2,0.0001893043066729768
cn,app_54,batch,80,0.007572172266919072
cn,app_54,interactive,10,0.000946521533364884
cn,app_55,batch,5,0.000473260766682442
cn,app_55,interactive,1,9.46521533364884e-05
cn,app_56,batch,6,0.0005679129200189305
cn,app_56,interactive,1,9.46521533364884e-05
cn,app_57,batch,21,0.0019876952200662567
cn,app_57,interactive,4,0.0003786086133459536
cn,app_58,batch,1,9.46521533364884e-05
cn,app_59,batch,11,0.0010411736867013725
cn,app_6,batch,3,0.00028395646000946523
cn,app_6,interactive,54,0.005111216280170374
cn,app_61,interactive,3,0.00028395646000946523
cn,app_62,batch,57,0.0053951727401798395
cn,app_62,interactive,12,0.001135825840037861
cn,app_63,batch,2,0.0001893043066729768
cn,app_64,batch,6,0.0005679129200189305
cn,app_64,interactive,6,0.0005679129200189305
cn,app_66,batch,1,9.46521533364884e-05
cn,app_66,interactive,1,9.46521533364884e-05
cn,app_68,batch,13,0.0012304779933743494
cn,app_68,interactive,5,0.000473260766682442
cn,app_69,batch,2,0.0001893043066729768
cn,app_69,interactive,2,0.0001893043066729768
cn,app_70,batch,1,9.46521533364884e-05
cn,app_72,interactive,1,9.46521533364884e-05
cn,app_73,batch,1,9.46521533364884e-05
cn,app_73,interactive,3,0.00028395646000946523
cn,app_75,batch,47,0.004448651206814955
cn,app_75,interactive,13,0.0012304779933743494
cn,app_76,interactive,3,0.00028395646000946523
cn,app_77,batch,184,0.017415996213913865
cn,app_77,interactive,96,0.009086606720302887
cn,app_78,batch,5,0.000473260766682442
cn,app_78,interactive,4,0.0003786086133459536
cn,app_79,batch,3,0.00028395646000946523
cn,app_79,interactive,3,0.00028395646000946523
cn,app_8,batch,13,0.0012304779933743494
cn,app_8,interactive,2,0.0001893043066729768
cn,app_80,batch,1,9.46521533364884e-05
cn,app_80,interactive,2,0.0001893043066729768
cn,app_81,batch,2,0.0001893043066729768
cn,app_81,interactive,2,0.0001893043066729768
cn,app_82,batch,66,0.006247042120208234
cn,app_82,interactive,12,0.001135825840037861
cn,app_83,batch,9,0.0008518693800283957
cn,app_84,batch,2,0.0001893043066729768
cn,app_85,batch,4,0.0003786086133459536
cn,app_86,batch,8,0.0007572172266919072
cn,app_86,interactive,6,0.0005679129200189305
cn,app_87,batch,1280,0.12115475627070516
cn,app_87,interactive,116,0.010979649787032655
cn,app_88,batch,13,0.0012304779933743494
cn,app_88,interactive,3,0.00028395646000946523
cn,app_89,batch,35,0.003312825366777094
cn,app_89,interactive,22,0.002082347373402745
cn,app_9,batch,2,0.0001893043066729768
cn,app_90,interactive,8,0.0007572172266919072
cn,app_91,batch,13,0.0012304779933743494
cn,app_91,interactive,54,0.005111216280170374
cn,app_92,batch,1,9.46521533364884e-05
cn,app_93,batch,31,0.0029342167534311407
cn,app_93,interactive,3,0.00028395646000946523
cn,app_94,batch,11,0.0010411736867013725
cn,app_95,batch,1,9.46521533364884e-05
cn,app_95,interactive,1,9.46521533364884e-05
cn,app_96,interactive,1,9.46521533364884e-05
cn,app_97,batch,6,0.0005679129200189305
cn,app_98,batch,2,0.0001893043066729768
cn,app_99,batch,4,0.0003786086133459536
hn,app_0,batch,98,0.009275911026975864
hn,app_0,interactive,84,0.007950780880265027
hn,app_1,batch,1,9.46521533364884e-05
hn,app_10,batch,1,9.46521533364884e-05
hn,app_100,batch,2,0.0001893043066729768
hn,app_100,interactive,2,0.0001893043066729768
hn,app_101,batch,7,0.0006625650733554188
hn,app_101,interactive,11,0.0010411736867013725
hn,app_102,batch,1,9.46521533364884e-05
hn,app_102,interactive,7,0.0006625650733554188
hn,app_103,interactive,2,0.0001893043066729768
hn,app_106,interactive,2,0.0001893043066729768
hn,app_107,batch,12,0.001135825840037861
hn,app_107,interactive,6,0.0005679129200189305
hn,app_108,interactive,2,0.0001893043066729768
hn,app_11,batch,1,9.46521533364884e-05
hn,app_11,interactive,3,0.00028395646000946523
hn,app_111,batch,12,0.001135825840037861
hn,app_111,interactive,10,0.000946521533364884
hn,app_112,batch,1,9.46521533364884e-05
hn,app_114,batch,119,0.01126360624704212
hn,app_114,interactive,10,0.000946521533364884
hn,app_119,interactive,4,0.0003786086133459536
hn,app_120,batch,1,9.46521533364884e-05
hn,app_120,interactive,5,0.000473260766682442
hn,app_121,batch,1,9.46521533364884e-05
hn,app_122,batch,1,9.46521533364884e-05
hn,app_123,batch,11,0.0010411736867013725
hn,app_123,interactive,25,0.00236630383341221
hn,app_124,interactive,5,0.000473260766682442
hn,app_125,batch,10,0.000946521533364884
hn,app_125,interactive,13,0.0012304779933743494
hn,app_126,batch,82,0.0077614765735920495
hn,app_126,interactive,17,0.001609086606720303
hn,app_127,batch,1,9.46521533364884e-05
hn,app_128,interactive,35,0.003312825366777094
hn,app_129,batch,2,0.0001893043066729768
hn,app_129,interactive,1,9.46521533364884e-05
hn,app_13,batch,14,0.0013251301467108376
hn,app_13,interactive,9,0.0008518693800283957
hn,app_130,batch,1,9.46521533364884e-05
hn,app_130,interactive,36,0.0034074775201135827
hn,app_132,batch,6,0.0005679129200189305
hn,app_132,interactive,36,0.0034074775201135827
hn,app_134,interactive,3,0.00028395646000946523
hn,app_136,batch,20,0.001893043066729768
hn,app_136,interactive,79,0.007477520113582584
hn,app_137,batch,5,0.000473260766682442
hn,app_137,interactive,6,0.0005679129200189305
hn,app_138,batch,13,0.0012304779933743494
hn,app_138,interactive,1,9.46521533364884e-05
hn,app_139,batch,32,0.003028868906767629
hn,app_14,batch,3,0.00028395646000946523
hn,app_14,interactive,6,0.0005679129200189305
hn,app_140,batch,6,0.0005679129200189305
hn,app_140,interactive,57,0.0053951727401798395
hn,app_141,batch,8,0.0007572172266919072
hn,app_141,interactive,3,0.00028395646000946523
hn,app_142,batch,3,0.00028395646000946523
hn,app_142,interactive,3,0.00028395646000946523
hn,app_143,batch,16,0.0015144344533838145
hn,app_143,interactive,6,0.0005679129200189305
hn,app_144,batch,5,0.000473260766682442
hn,app_144,interactive,11,0.0010411736867013725
hn,app_145,batch,10,0.000946521533364884
hn,app_145,interactive,79,0.007477520113582584
hn,app_146,batch,5,0.000473260766682442
hn,app_147,batch,6,0.0005679129200189305
hn,app_147,interactive,4,0.0003786086133459536
hn,app_149,batch,1,9.46521533364884e-05
hn,app_149,interactive,1,9.46521533364884e-05
hn,app_150,batch,2,0.0001893043066729768
hn,app_151,interactive,115,0.010884997633696167
hn,app_152,batch,48,0.004543303360151444
hn,app_152,interactive,10,0.000946521533364884
hn,app_153,batch,4,0.0003786086133459536
hn,app_153,interactive,3,0.00028395646000946523
hn,app_154,batch,1,9.46521533364884e-05
hn,app_154,interactive,18,0.0017037387600567914
hn,app_155,batch,1,9.46521533364884e-05
hn,app_16,interactive,1,9.46521533364884e-05
hn,app_17,interactive,1,9.46521533364884e-05
hn,app_18,batch,34,0.003218173213440606
hn,app_18,interactive,13,0.0012304779933743494
hn,app_19,batch,42,0.003975390440132513
hn,app_19,interactive,46,0.004353999053478466
hn,app_2,batch,6,0.0005679129200189305
hn,app_2,interactive,5,0.000473260766682442
hn,app_20,batch,5,0.000473260766682442
hn,app_20,interactive,275,0.02602934216753431
hn,app_21,batch,19,0.0017983909133932796
hn,app_21,interactive,13,0.0012304779933743494
hn,app_22,batch,47,0.004448651206814955
hn,app_22,interactive,6,0.0005679129200189305
hn,app_23,batch,35,0.003312825366777094
hn,app_24,batch,21,0.0019876952200662567
hn,app_24,interactive,1,9.46521533364884e-05
hn,app_25,batch,4,0.0003786086133459536
hn,app_25,interactive,2,0.0001893043066729768
hn,app_26,batch,17,0.001609086606720303
hn,app_26,interactive,4,0.0003786086133459536
hn,app_27,batch,14,0.0013251301467108376
hn,app_27,interactive,27,0.002555608140085187
hn,app_28,batch,6,0.0005679129200189305
hn,app_28,interactive,1,9.46521533364884e-05
hn,app_29,batch,1,9.46521533364884e-05
hn,app_3,batch,6,0.0005679129200189305
hn,app_30,batch,6,0.0005679129200189305
hn,app_31,batch,2,0.0001893043066729768
hn,app_32,batch,7,0.0006625650733554188
hn,app_32,interactive,9,0.0008518693800283957
hn,app_34,batch,3,0.00028395646000946523
hn,app_35,batch,7,0.0006625650733554188
hn,app_35,interactive,1,9.46521533364884e-05
hn,app_37,batch,17,0.001609086606720303
hn,app_37,interactive,6,0.0005679129200189305
hn,app_38,batch,2,0.0001893043066729768
hn,app_39,batch,4,0.0003786086133459536
hn,app_39,interactive,1,9.46521533364884e-05
hn,app_41,batch,8,0.0007572172266919072
hn,app_41,interactive,1,9.46521533364884e-05
hn,app_42,batch,2,0.0001893043066729768
hn,app_42,interactive,1,9.46521533364884e-05
hn,app_43,batch,1,9.46521533364884e-05
hn,app_44,interactive,1,9.46521533364884e-05
hn,app_46,batch,4,0.0003786086133459536
hn,app_47,interactive,1,9.46521533364884e-05
hn,app_48,interactive,2,0.0001893043066729768
hn,app_49,batch,6,0.0005679129200189305
hn,app_50,batch,18,0.0017037387600567914
hn,app_50,interactive,11,0.0010411736867013725
hn,app_52,batch,7,0.0006625650733554188
hn,app_52,interactive,6,0.0005679129200189305
hn,app_53,batch,5,0.000473260766682442
hn,app_53,interactive,3,0.00028395646000946523
hn,app_54,batch,16,0.0015144344533838145
hn,app_54,interactive,6,0.0005679129200189305
hn,app_55,batch,10,0.000946521533364884
hn,app_55,interactive,4,0.0003786086133459536
hn,app_56,batch,1,9.46521533364884e-05
hn,app_57,batch,18,0.0017037387600567914
hn,app_57,interactive,2,0.0001893043066729768
hn,app_6,interactive,110,0.010411736867013724
hn,app_60,batch,5,0.000473260766682442
hn,app_60,interactive,3,0.00028395646000946523
hn,app_61,batch,2,0.0001893043066729768
hn,app_61,interactive,2,0.0001893043066729768
hn,app_62,batch,39,0.003691433980123048
hn,app_62,interactive,9,0.0008518693800283957
hn,app_64,batch,5,0.000473260766682442
hn,app_64,interactive,4,0.0003786086133459536
hn,app_66,batch,3,0.00028395646000946523
hn,app_67,batch,2,0.0001893043066729768
hn,app_68,batch,2,0.0001893043066729768
hn,app_68,interactive,1,9.46521533364884e-05
hn,app_69,interactive,1,9.46521533364884e-05
hn,app_72,interactive,3,0.00028395646000946523
hn,app_73,batch,2,0.0001893043066729768
hn,app_73,interactive,18,0.0017037387600567914
hn,app_74,batch,1,9.46521533364884e-05
hn,app_74,interactive,1,9.46521533364884e-05
hn,app_75,batch,16,0.0015144344533838145
hn,app_75,interactive,2,0.0001893043066729768
hn,app_76,batch,1,9.46521533364884e-05
hn,app_76,interactive,5,0.000473260766682442
hn,app_77,batch,20,0.001893043066729768
hn,app_77,interactive,22,0.002082347373402745
hn,app_78,batch,3,0.00028395646000946523
hn,app_78,interactive,4,0.0003786086133459536
hn,app_82,batch,4,0.0003786086133459536
hn,app_82,interactive,3,0.00028395646000946523
hn,app_86,batch,76,0.007193563653573118
hn,app_86,interactive,107,0.01012778040700426
hn,app_87,batch,3,0.00028395646000946523
hn,app_87,interactive,5,0.000473260766682442
hn,app_88,batch,1,9.46521533364884e-05
hn,app_89,batch,42,0.003975390440132513
hn,app_89,interactive,17,0.001609086606720303
hn,app_90,batch,5,0.000473260766682442
hn,app_90,interactive,3,0.00028395646000946523
hn,app_91,batch,8,0.0007572172266919072
hn,app_91,interactive,12,0.001135825840037861
hn,app_93,batch,35,0.003312825366777094
hn,app_93,interactive,7,0.0006625650733554188
hn,app_95,batch,3,0.00028395646000946523
hn,app_95,interactive,1,9.46521533364884e-05
hn,app_98,batch,1,9.46521533364884e-05
hn,app_98,interactive,1,9.46521533364884e-05
hn,app_99,batch,2,0.0001893043066729768
hn,app_99,interactive,4,0.0003786086133459536
